Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Bubblegum Runtz,Hybrid,"A convenient hybrid cartridge carrying Bubblegum Runtz's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, a sweet, fruity candy aroma with a smooth, euphoric, balanced feel, delivering a versatile, anytime balance.",,,,,,,
Buddies Fire & Ice 1:1,Hybrid,A soothing cannabis-infused topical you apply right where you want it — great for targeted comfort in muscles and joints. Non-intoxicating and easy to use. It blends THC for soothing comfort and CBD to help calm and balance in a 1:1 ratio.,,,,,,,
Bulletproof,Hybrid,"Bulletproof is a hybrid flower with notes of diesel and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Burnout #33,Hybrid,"A grab-and-go hybrid disposable of Burnout #33, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, a balanced, sweet-earthy profile, leading into a smooth, well-rounded vibe.",,,,,,,
Burnout OG #33,Hybrid,"Burnout OG #33 is a hybrid flower with a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel.",,,,,,,
Busta's Flow,Hybrid,"Busta's Flow is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Buttamilk Biscuits,,,,,,,,,
Butter,Indica,"Butter is an indica pre-roll with an earthy, sweet, and musky aroma and relaxing, mellow body comfort.",,,,,,,
Butter Face,Hybrid,"Butter Face is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Butter Mintz,Indica,"Butter Mintz is an indica flower with notes of diesel, butter, and vanilla, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
C*caine Bear,,,,,,,,,
Caesar,,,,,,,,,
Caffeine,Hybrid,"This infused hybrid pre-roll wraps Caffeine flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — with notes of diesel and lemon, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Cake,Hybrid,"Cake is a hybrid flower with notes of blueberry, apple, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cake Batter,Hybrid,"Cake Batter is a hybrid flower with notes of vanilla, pepper, and butter, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cake Bomb,Indica,"Cake Bomb is an indica pre-roll with notes of diesel, sweet, and mango, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Cake Donut,Hybrid,"A hybrid vape cartridge filled with Cake Donut oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Flavor on the go, a sweet, vanilla, earthy aroma with a relaxing, euphoric feel, leading into an even, best-of-both-worlds feel.",,,,,,,
Cake Frosting,Hybrid,"Cake Frosting is a hybrid flower with notes of apricot, apple, and blueberry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cake N Bake,,,,,,,,,
Cali Glow,Hybrid,"Cali Glow is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Cali Nights,,,,,,,,,
Cali OG,,,,,,,,,
Cali Swiss,Hybrid,"This hybrid rosin is the connoisseur's clean dab: Cali Swiss coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. Flavor-forward and full-spectrum, a balanced, sweet-earthy profile, leading into a versatile, anytime balance.",,,,,,,
Candi Gas,Hybrid,"Ready-to-spark hybrid infused pre-roll of Candi Gas, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — a pungent fuel flavor, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Candy Apple,Hybrid,"A chemical-free hybrid rosin, where Candy Apple is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect with notes of apple, pineapple, and blueberry, a rich terpene punch, and a balanced head-and-body experience.",,,,,,,
Candy Cane,Indica,"Ready-to-spark indica infused pre-roll of Candy Cane, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — with notes of mint, mango, and sweet, delivering deep, easygoing relaxation. Pace yourself.",,,,,,,
Candy Corn,Hybrid,"A hybrid pre-roll of Candy Corn supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Candy Crush,Hybrid,"These hybrid moon rocks take Candy Crush to another orbit — bud, oil, and kief layered together for a rich, slow-burning, top-of-the-menu treat. Decadent and potent, a balanced, sweet-earthy profile, leading into a versatile, anytime balance.",,,,,,,
candy fumez,Hybrid,"Aromatic hybrid live resin pressed from fresh-frozen Candy Fumez, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. Saucy, vibrant, and intensely aromatic — with notes of chemical, tropical, and sweet, with an even, best-of-both-worlds feel.",,,,,,,
Candy Gas,Hybrid,"Candy Gas is a hybrid flower with a pungent fuel flavor and balanced, well-rounded effects.",,,,,,,
Candy Gassy,Hybrid,"Candy Gassy is a hybrid flower with a pungent fuel flavor and balanced, well-rounded effects.",,,,,,,
Candy Gushers,Hybrid,"This hybrid sugar gives Candy Gushers a grainy, jeweled texture — crystals plus sauce in one, loose enough to handle and dripping with flavor. Crystally, terp-soaked, and bright — a sweet, tropical-fruit candy aroma with a balanced, relaxing feel, with an even, best-of-both-worlds feel.",,,,,,,
Candy MAC,Hybrid,"This infused hybrid pre-roll wraps Candy MAC flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — with notes of blue cheese, blueberry, and diesel, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Candy Man,Indica,"Candy Man is an indica flower with an earthy, sweet, and musky aroma and relaxing, mellow body comfort.",,,,,,,
Candy Pave & Blueberry,,,,,,,,,
Candyclysm & Blueberry,,,,,,,,,
cantucci,Hybrid,"Craft hybrid rosin made the clean way: Cantucci squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. Expect a balanced, sweet-earthy profile, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
cap junky,Hybrid,"Cap Junky is a hybrid flower with notes of apricot, menthol, and apple, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Caprizun,Hybrid,"A convenient hybrid cartridge carrying Caprizun's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Smooth, discreet, and flavorful — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
caramel,Hybrid,"A small-batch buttery, sweet caramel edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Caramel Apple,Hybrid,"A chocolatier-style edible with creamy cocoa depth, a polished finish, and the kind of dessert-shop richness that feels far more special than ordinary candy. It blends CBD to keep things calm and balanced and THC for a classic euphoric lift in a 5:1 ratio. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Caramel Espresso 5:1,Hybrid,"A premium chocolate treat with old-world dessert energy: silky texture, warm cocoa aroma, and a refined cannabis finish that makes each bite feel indulgent. It blends CBD to keep things calm and balanced and THC for a classic euphoric lift in a 5:1 ratio. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Caramel Fly,Hybrid,"A lively infused shot with buttery, sweet caramel character, made for customers who want a fast, flavorful edible-style option. It blends THC for a classic euphoric lift and CBG to support daytime focus and clarity. For an uplifting, energetic experience.",,,,,,,
Caramel Popcorn,Hybrid,"A small-batch buttery, sweet caramel edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Carbon Fiber,Hybrid,"An all-in-one hybrid disposable vape preloaded with Carbon Fiber oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Grab-and-go convenience, with notes of ammonia, chemical, and pepper, delivering a smooth, well-rounded vibe.",,,,,,,
Carrot Cake,Hybrid,"Carrot Cake is a hybrid flower with notes of chestnut and vanilla, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cascade Cream,Hybrid,"This infused hybrid pre-roll wraps Cascade Cream flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — a smooth, creamy flavor, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Casey Jones,Sativa,"A convenient sativa cartridge carrying Casey Jones's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, with notes of pear, citrus, and earthy, leading into a bright, heady lift.",,,,,,,
cat nip,Hybrid,"Cat Nip is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Cat Piss Cookies,Hybrid,"Cat Piss Cookies is a hybrid pre-roll with a sweet, doughy, earthy dessert aroma with a euphoric, relaxing feel.",,,,,,,
cbc,Hybrid,A soothing cannabis-infused topical drop formula you apply right where you want it — great for targeted comfort in muscles and joints. Non-intoxicating and easy to use. It blends THC for soothing comfort and CBC to round out the full-plant blend in a 4:1 ratio.,,,,,,,
CBD Black Magic Woman,Hybrid,"This hybrid live resin captures CBD Black Magic Woman at its living peak — frozen at cut, extracted cold, and bottled with its full, layered terpene profile intact. Full-spectrum and bursting with terps, a balanced, sweet-earthy profile, delivering a balanced head-and-body experience.",,,,,,,
CBD Magic Monkey,,,,,,,,,
CBD Mexican Flan,Hybrid,"Premium hybrid live resin extracted from CBD Mexican Flan that was flash-frozen fresh at harvest, locking in the volatile terpenes most concentrates lose to drying and curing. Bright, layered, and strain-expressive, a balanced, sweet-earthy profile, leading into an even, best-of-both-worlds feel.",,,,,,,
CBD Tropical Fusion,,,,,,,,,
CBG Blend,,,,,,,,,
CBN,Indica,A soothing cannabis-infused topical drop formula you apply right where you want it — great for targeted comfort in muscles and joints. Non-intoxicating and easy to use. It blends THC for soothing comfort and CBN for added relaxation in a 4:1 ratio.,,,,,,,
Celtic Cream,Hybrid,"Celtic Cream is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cereal Milk,Hybrid,"A hybrid infused joint built on Cereal Milk and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of butter, vanilla, and sweet, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Cereal Milk #6,,,,,,,,,
Chai Latte,Hybrid,"Chai Latte is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Chai Latte x Paradise Pop,Hybrid,"A hybrid infused joint built on Chai Latte x Paradise Pop and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Charlotte's Tsu,Hybrid,"Charlotte's Tsu is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Charmz,Hybrid,"Connoisseur-grade hybrid hash rosin, where Charmz's trichomes are washed into hash and pressed into a creamy, full-spectrum concentrate bursting with flavor. Maximum flavor, zero solvents, a balanced, sweet-earthy profile, and a versatile, anytime balance.",,,,,,,
Charmz x Moon Pie,Hybrid,"A hybrid blunt of Charmz x Moon Pie taken up a level with concentrate — flower plus potent extract rolled together for a bold, slow-burning, full-flavored smoke. Boosted for extra strength and more intense effects — with notes of diesel, berry, and sweet, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Cheat Code,Hybrid,"Cheat Code is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Cheese Quake,Hybrid,"Classic hybrid BHO crafted from Cheese Quake — hydrocarbon-extracted, fully purged, and dense with cannabinoids for an efficient, hard-hitting dab. Potent, clean, and lab-tested — with notes of cheese, tea, and pungent, with a smooth, well-rounded vibe.",,,,,,,
Cheesecake,Indica,"Cheesecake is an indica pre-roll with notes of cheese, butter, and blue cheese, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Cheetah piss & Strawnana,,,,,,,,,
Chem De La Sour,Hybrid,"This hybrid rosin is the connoisseur's clean dab: Chem De La Sour coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. A premium solventless experience, a tangy, mouth-watering sour flavor, delivering a balanced head-and-body experience.",,,,,,,
Chem Trailz,Hybrid,"Chem Trailz is a hybrid pre-roll with notes of chemical, diesel, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Chernobyl,Hybrid,"A hybrid infused joint built on Chernobyl and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — with notes of lime, citrus, and lemon, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Cherry,Hybrid,"An artisan sweet, ripe cherry edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Cherry Amaretto,Hybrid,"Cherry Amaretto is a hybrid flower with a sweet, ripe cherry flavor and balanced, well-rounded effects.",,,,,,,
Cherry Bang Bang,Hybrid,"Craft hybrid rosin made the clean way: Cherry Bang Bang squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. Flavor-forward and full-spectrum, with notes of berry, apple, and lemon, leading into a versatile, anytime balance.",,,,,,,
Cherry Biscotti,Hybrid,"Cherry Biscotti is a hybrid pre-roll with notes of tree fruit, berry, and blueberry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cherry Blossom OG,Indica,"Ready-to-spark indica infused pre-roll of Cherry Blossom OG, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — with notes of berry, rose, and mint, with deep, easygoing relaxation. A little goes a long way.",,,,,,,
Cherry Bomb,Hybrid,"Ready-to-spark hybrid infused pre-roll of Cherry Bomb, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — with notes of tree fruit, chestnut, and berry, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Cherry Cheesecake,Indica,"Cherry Cheesecake is an indica flower with notes of cheese, berry, and lemon, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Cherry Cookie Cake,Hybrid,"Cherry Cookie Cake is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cherry Cookies,Hybrid,"A workhorse hybrid dab: Cherry Cookies run through a closed-loop butane extraction and finished to a smooth, high-potency concentrate. Potent, clean, and lab-tested — with notes of tree fruit, berry, and rose, with a smooth, well-rounded vibe.",,,,,,,
Cherry Gelato,Hybrid,"This hybrid BHO concentrate distills Cherry Gelato down to its potent essence through precision closed-loop extraction and a clean solvent purge. Efficient and hard-hitting, with notes of berry, violet, and sweet, delivering a versatile, anytime balance.",,,,,,,
Cherry Lemonade,Hybrid,"A small-batch sweet-tart lemonade edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Cherry Lime,Hybrid,"Polished confectioner-style mints with a cool, refreshing finish, the kind you could imagine being pressed in small batches by an old-school candy maker. Built for slow enjoyment: big flavor first, smooth cannabis finish after.",,,,,,,
Cherry Limeade Slush,Hybrid,"An all-in-one hybrid disposable vape preloaded with Cherry Limeade Slush oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Zero setup, all flavor — a tart, crisp lime flavor, with an even, best-of-both-worlds feel.",,,,,,,
Cherry Og,Hybrid,"A hybrid pre-roll of Cherry Og supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — with notes of tree fruit, berry, and sweet, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Cherry Paloma,Hybrid,"Craft hybrid rosin made the clean way: Cherry Paloma squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. Expect a sweet, ripe cherry flavor, a rich terpene punch, and a balanced head-and-body experience.",,,,,,,
Cherry Payton,Hybrid,"Cherry Payton is a hybrid pre-roll with a sweet, ripe cherry flavor and balanced, well-rounded effects.",,,,,,,
Cherry Pie,Hybrid,"Creamy blond hybrid badder made from Cherry Pie — the whipping process draws the terpenes forward, giving this batter-textured dab a loud, fragrant nose. Creamy, terpy, and easy to handle — with notes of tree fruit, berry, and sweet, with a balanced head-and-body experience.",,,,,,,
cherry scented marker,,,,,,,,,
Cherry Ztripez,Hybrid,"Cherry Ztripez is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Chicken & Wafflez,Hybrid,"Chicken & Wafflez is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Chill,Hybrid,A soothing cannabis-infused topical you apply right where you want it — great for targeted comfort in muscles and joints. Non-intoxicating and easy to use.,,,,,,,
CHIMERA,Hybrid,"Chimera is a hybrid flower with notes of apricot, ammonia, and lavender, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Chocolate Caramel Indica,Indica,"A premium chocolate treat with old-world dessert energy: silky texture, warm cocoa aroma, and a refined cannabis finish that makes each bite feel indulgent. Rich on flavor and easy to enjoy — start with a comfortable serving and let the edible do the rest.",,,,,,,
Chocolate Caramel Sativa,Sativa,"Decadent artisan chocolate inspired by humane cacao farms and old confectioner recipes, blending deep cocoa richness with a smooth, measured cannabis experience. Built for slow enjoyment: big flavor first, smooth cannabis finish after.",,,,,,,
chocolate covered stellar bites,,,,,,,,,
Chocolate Covered Strawberry,Hybrid,"Chocolate Covered Strawberry is a hybrid pre-roll with a sweet, juicy strawberry flavor and balanced, well-rounded effects.",,,,,,,
Chocolate Truffle,Hybrid,"Luxurious chocolate made for slow savoring — deep cocoa, soft sweetness, and a cannabis infusion blended into the recipe like a secret ingredient passed down for generations. It features THC for a classic euphoric lift. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Chocolate Turtle Indica,Indica,"Decadent artisan chocolate inspired by humane cacao farms and old confectioner recipes, blending deep cocoa richness with a smooth, measured cannabis experience. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Chocolate Turtle Sativa,Sativa,"A premium chocolate treat with old-world dessert energy: silky texture, warm cocoa aroma, and a refined cannabis finish that makes each bite feel indulgent. Enjoy slowly and let the infused finish settle in at its own pace.",,,,,,,
Chocolatina,Sativa,"Chocolatina is a sativa flower with notes of nutty, coffee, and cheese, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Chocolope,Sativa,"A grab-and-go sativa disposable of Chocolope, the simplest way to vape: flavorful, portable, and zero setup required. Zero setup, all flavor — with notes of coffee, nutty, and chestnut, with an upbeat, talkative energy.",,,,,,,
Chrome Dome,Hybrid,"Chrome Dome is a hybrid flower with notes of berry and lemon, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Chrome Gnome,Hybrid,"Effortless hybrid disposable vape of Chrome Gnome — fully charged out of the box, dialed in for smooth flavor and total convenience. Zero setup, all flavor — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Chuckleberry,Hybrid,"An artisan sweet, ripe berry edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. Rich on flavor and easy to enjoy — start with a comfortable serving and let the edible do the rest.",,,,,,,
Cinderella 99,Hybrid,"Ready-to-spark hybrid infused pre-roll of Cinderella 99, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — with notes of citrus, grapefruit, and flowery, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Cinnamon,Hybrid,"Polished confectioner-style mints with a cool, refreshing finish, the kind you could imagine being pressed in small batches by an old-school candy maker. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Cinnamon (Sativa),,,,,,,,,
Citrus,Hybrid,"A gourmet-style bright, zesty citrus treat with imaginative flavor, balanced sweetness, and a clean infused finish. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBG to support daytime focus and clarity in a 1:1:1 ratio. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Citrus Cloud,Hybrid,"A hybrid vape cartridge filled with Citrus Cloud oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — a bright, zesty citrus flavor, with a versatile, anytime balance.",,,,,,,
Citrus Kush,,,,,,,,,
Citrus Mistress,Hybrid,"A hybrid live resin cartridge filled with fresh-frozen Citrus Mistress extract — all the bright, strain-true terpenes of live resin in a no-torch, push-button vape. Portable premium, a bright, zesty citrus flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Citrus Rain,Hybrid,"Citrus Rain is a hybrid pre-roll with a bright, zesty citrus flavor and balanced, well-rounded effects.",,,,,,,
Citrus Sunrise,Hybrid,"Classic hybrid BHO crafted from Citrus Sunrise — hydrocarbon-extracted, fully purged, and dense with cannabinoids for an efficient, hard-hitting dab. Efficient and hard-hitting, a bright, zesty citrus flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Clementine,Sativa,"Ready-to-spark sativa infused pre-roll of Clementine, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — with notes of orange, citrus, and lemon, with a clear, creative buzz. A little goes a long way.",,,,,,,
Cloud Berry,Hybrid,"This infused hybrid pre-roll wraps Cloud Berry flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a sweet, ripe berry flavor, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Clout Berries,Hybrid,"Clout Berries is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Clout Candy,Hybrid,"Clout Candy is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Co Biker Gelato,,,,,,,,,
Cobra Chi 9,Hybrid,"Cobra Chi 9 is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Cocoa Kitty,,,,,,,,,
Coffee Creamer,Hybrid,"Coffee Creamer is a hybrid pre-roll with notes of butter, coffee, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cola,Indica,"A refreshing chef-inspired infused beverage with bright café-style flavor, smooth sweetness, and an easy-drinking cannabis finish. A refreshing indica option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Colombian Gold,Sativa,"A sativa infused joint built on Colombian Gold and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — with notes of lime, skunk, and lemon, delivering a clear, creative buzz. Pace yourself.",,,,,,,
Colorado Chem,Hybrid,"Colorado Chem is a hybrid pre-roll with notes of skunk, menthol, and flowery, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Colorado Nightshifter,Hybrid,"Ready-to-spark hybrid infused pre-roll of Colorado Nightshifter, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Comatoast,Indica,"A flavor-forward indica live resin, made from fresh-frozen Comatoast in a closed-loop system so the dab tastes almost exactly like the plant smelled in the field. Saucy, vibrant, and intensely aromatic — earthy, sweet undertones, with settle-in, melt-into-the-couch ease.",,,,,,,
Commando #7,Hybrid,"Commando #7 is a hybrid flower with notes of diesel, lemon, and mango, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Constellation's Blueberry,,,,,,,,,
Cookie Dough,Hybrid,A mouth-watering chef-inspired infused treat with candy-kitchen charm and a smooth cannabis experience tucked into every serving. It features THC for a classic euphoric lift. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.,,,,,,,
Cookie Krisp,Hybrid,"A purist's hybrid hash rosin: Cookie Krisp refined first into full-melt hash, then squeezed solventless under heat and pressure for the cleanest, most flavorful dab going. A true craft dab, a balanced, sweet-earthy profile, delivering a balanced head-and-body experience.",,,,,,,
Cookies & Cream,Hybrid,"Decadent artisan chocolate inspired by humane cacao farms and old confectioner recipes, blending deep cocoa richness with a smooth, measured cannabis experience. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Cookies OG,,,,,,,,,
Cookies x OG Kush,,,,,,,,,
Cosmic Charlie,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Cosmic Chem,Hybrid,"Cosmic Chem is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cosmic Gelato,Hybrid,"Cosmic Gelato is a hybrid flower with a sweet, creamy, dessert-like aroma with a balanced, euphoric feel.",,,,,,,
Cotton Candy,Hybrid,"Cotton Candy is a hybrid pre-roll with notes of lavender, flowery, and sweet, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Cough Trop,Hybrid,"Cough Trop is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Cranberry,Hybrid,"A chef-inspired sweet, ripe berry edible with dessert-counter personality, smooth sweetness, and a carefully blended cannabis infusion. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. Perfect for winding down at the end of the day.",,,,,,,
Cranberry Pomegranate,Hybrid,"A workhorse hybrid dab: Cranberry Pomegranate run through a closed-loop butane extraction and finished to a smooth, high-potency concentrate. Potent, clean, and lab-tested — a sweet, ripe berry flavor, with a balanced head-and-body experience.",,,,,,,
Cream Pie,Hybrid,"Cream Pie is a hybrid pre-roll with a smooth, creamy flavor and balanced, well-rounded effects.",,,,,,,
cream smoothie,,,,,,,,,
Creamsicle,Hybrid,"A grab-and-go hybrid disposable of Creamsicle, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, with notes of ammonia, vanilla, and diesel, leading into an even, best-of-both-worlds feel.",,,,,,,
Creamsicle Dream,Hybrid,"A hybrid vape cartridge filled with Creamsicle Dream oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Flavor on the go, a smooth, creamy flavor, leading into a versatile, anytime balance.",,,,,,,
Create 1:1,Hybrid,"A chocolatier-style edible with creamy cocoa depth, a polished finish, and the kind of dessert-shop richness that feels far more special than ordinary candy. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Creme Brulee,Indica,"Ready-to-spark indica infused pre-roll of Creme Brulee, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — with notes of vanilla, coffee, and chestnut, with deep, easygoing relaxation. A little goes a long way.",,,,,,,
Crepe Ape,,,,,,,,,
