slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
brains-damage,Brains-damage,,indica,Misty Kush x Afghani Bullrider,,earthy|sweet|woody,earthy|sweet|woody,,thc,,,KC Brains,"Brains-damage is an indica, a cross of Misty Kush x Afghani Bullrider with flavors of earthy, sweet, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.7
brainwreck,Brainwreck,,hybrid,Triple Diesel x Wonder Haze,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,WA flower lots test around 23% THC on average.,,Stallion Genetics,"Brainwreck is a hybrid, a cross of Triple Diesel x Wonder Haze with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
bubble cheese,Bubble Cheese,,indica,Fire Haze x Bubba OG x Bubbleberry,,cheese|earthy|pungent,cheese|earthy|pungent,,thc,WA flower lots test around 20% THC on average.,,Big Buddha Seeds,"Bubble Cheese is an indica, a cross of Fire Haze x Bubba OG x Bubbleberry with flavors of cheese, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
bubbleberry,Bubbleberry,,hybrid,Blueberry Diesel x Bubbleberry,,berry|blueberry|sweet,berry|blueberry|sweet,,thc,WA flower lots test around 19% THC on average.,,Sagarmatha Seeds,"Bubbleberry is a hybrid, a cross of Blueberry Diesel x Bubbleberry with flavors of berry, blueberry, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
buddha-haze,Buddha-haze,,sativa,Anesthesia x G13 Haze x Super Sour Diesel,,earthy|nutty|sweet,earthy|nutty|sweet,,thc,,,Big Buddha Seeds,"Buddha-haze is a sativa, a cross of Anesthesia x G13 Haze x Super Sour Diesel with flavors of earthy, nutty, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.7
california orange,California Orange,,hybrid,Afghani Bullrider x Afghanica x California Grapefruit,,citrus|orange|sweet,citrus|orange|sweet,,thc,WA flower lots test around 18% THC on average.,,,"California Orange is a hybrid, a cross of Afghani Bullrider x Afghanica x California Grapefruit with flavors of citrus, orange, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
california-grapefruit,California-grapefruit,,indica,Afghanica x Nuggetry OG,,citrus|peppery,citrus|peppery,,thc,,,DNA Genetics,"California-grapefruit is an indica, a cross of Afghanica x Nuggetry OG with flavors of citrus, peppery.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.7
cannalope haze,Cannalope Haze,,sativa,Headband x Misty Kush,,floral|citrus|sweet,floral|citrus|sweet|tropical,,thc,WA flower lots test around 17% THC on average.,,DNA Genetics,"Cannalope Haze is a sativa, a cross of Headband x Misty Kush with flavors of floral, citrus, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
cherry bomb,Cherry Bomb,,hybrid,Satori x Chilla,,berry|pungent|skunk,berry|pungent|skunk,,thc,WA flower lots test around 18% THC on average.,,Almighty Seeds,"Cherry Bomb is a hybrid, a cross of Satori x Chilla with flavors of berry, pungent, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
chronic,Chronic,,hybrid,Nuggetry OG x Skydog x AK-48,,herbal|spicy|sweet,herbal|spicy|sweet|woody,,thc,WA flower lots test around 19% THC on average.,,Serious Seeds,"Chronic is a hybrid, a cross of Nuggetry OG x Skydog x AK-48 with flavors of herbal, spicy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
crystalberry,Crystalberry,,indica,Blueberry Diesel x NYC Diesel,,berry|blueberry|grape,berry|blueberry|grape|sweet,,thc,WA flower lots test around 22% THC on average.,,Cannabis Pros,"Crystalberry is an indica, a cross of Blueberry Diesel x NYC Diesel with flavors of berry, blueberry, grape.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
jacks cleaner,Jacks Cleaner,,sativa,Jamaican Pearl x Jack Kush x Purple Kush,,citrus|lemon|sweet,citrus|lemon|sweet,,thc,WA flower lots test around 19% THC on average.,,Subcool,"Jacks Cleaner is a sativa, a cross of Jamaican Pearl x Jack Kush x Purple Kush with flavors of citrus, lemon, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
jillybean,Jillybean,,hybrid,Root Beer Kush x Citrus Kush,,citrus|orange|sweet,citrus|orange|sweet,,thc,WA flower lots test around 19% THC on average.,,TGA,"Jillybean is a hybrid, a cross of Root Beer Kush x Citrus Kush with flavors of citrus, orange, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
silver pearl,Silver Pearl,,hybrid,Nuggetry OG x Skydog,,mango|pine|skunk,mango|pine|skunk,,thc,,,Seed Bank,"Silver Pearl is a hybrid, a cross of Nuggetry OG x Skydog with flavors of mango, pine, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.7
tres dawg,Tres Dawg,,hybrid,Star Dawg x Chemdawg #4,,citrus|diesel|pungent,citrus|diesel|pungent,,thc,WA flower lots test around 21% THC on average.,,Top Dawg Seeds,"Tres Dawg is a hybrid, a cross of Star Dawg x Chemdawg #4 with flavors of citrus, diesel, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.7
100-og,100-og,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,,,Old School Breeder's Association,"100-og is a hybrid with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
13-dawgs,13-dawgs,,hybrid,,,apricot|citrus,apricot|citrus,,thc,,,Delta 9 Bio-Tech,"13-dawgs is a hybrid with flavors of apricot, citrus.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
24k gold,24K Gold,,hybrid,,,citrus|earthy|orange,citrus|earthy|orange,,thc,WA flower lots test around 20% THC on average.,,Crockett Family Farms,"24K Gold is a hybrid with flavors of citrus, earthy, orange.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
303-og,303-og,,indica,,,citrus|earthy|pine,citrus|earthy|pine|pungent,,thc,,,,"303-og is an indica with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
3x crazy,3X Crazy,,indica,,,earthy|grape|sweet,earthy|grape|sweet,,thc,WA flower lots test around 17% THC on average.,,,"3X Crazy is an indica with flavors of earthy, grape, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
3d-cbd,3d-cbd,,sativa,,,earthy|floral|woody,earthy|floral|woody,,thc,,,,"3d-cbd is a sativa with flavors of earthy, floral, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
3rd-coast-panama-chunk,3rd-coast-panama-chunk,,hybrid,,,diesel|pine,diesel|pine,,thc,,,,"3rd-coast-panama-chunk is a hybrid with flavors of diesel, pine.",The Cannabis API (Piyush-Bhor),0.65
5th element,5th Element,,indica,,,earthy|pine|sweet,earthy|pine|sweet|woody,,thc,WA flower lots test around 22% THC on average.,,Elemental Seeds,"5th Element is an indica with flavors of earthy, pine, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
8 ball kush,8 Ball Kush,,indica,,,citrus|earthy|pine,citrus|earthy|pine,,thc,WA flower lots test around 18% THC on average.,,,"8 Ball Kush is an indica with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
818 og,818 Og,,indica,,,diesel|earthy|floral,diesel|earthy|floral,,thc,WA flower lots test around 19% THC on average.,,,"818 Og is an indica with flavors of diesel, earthy, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
91 krypt,91 Krypt,,indica,,,berry|earthy|pungent,berry|earthy|pungent|sweet,,thc,WA flower lots test around 16% THC on average.,,,"91 Krypt is an indica with flavors of berry, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
98-white-widow,98-white-widow,,hybrid,,,diesel|floral,diesel|floral,,thc,,,,"98-white-widow is a hybrid with flavors of diesel, floral.",The Cannabis API (Piyush-Bhor),0.65
9lb hammer,9lb Hammer,,hybrid,,pinene,pine|fresh|peppery|spicy,,pinene|caryophyllene|myrcene,thc,,,,9lb Hammer is a hybrid with Pinene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
a 10,A 10,,indica,,,citrus|pungent|sweet,citrus|pungent|sweet,,thc,WA flower lots test around 19% THC on average.,,,"A 10 is an indica with flavors of citrus, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
a train,A Train,,hybrid,,,citrus|earthy|woody,citrus|earthy|woody,,thc,WA flower lots test around 18% THC on average.,,T.H.Seeds,"A Train is a hybrid with flavors of citrus, earthy, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
a-dub,A-dub,,hybrid,,,diesel|earthy|peppery,diesel|earthy|peppery,,thc,,,,"A-dub is a hybrid with flavors of diesel, earthy, peppery.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
abc,Abc,,hybrid,,pinene,pine|fresh|hoppy|earthy,,pinene|caryophyllene|humulene,thc,,,,Abc is a hybrid with Pinene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
aberdeen,Aberdeen,,hybrid,,,cheese|diesel|mint,cheese|diesel|mint,,thc,,,Aphria,"Aberdeen is a hybrid with flavors of cheese, diesel, mint.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
ace-killer-og,Ace-killer-og,,indica,,,diesel|earthy|herbal,diesel|earthy|herbal|pine|spicy,,thc,,,,"Ace-killer-og is an indica with flavors of diesel, earthy, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
aceh,Aceh,,sativa,,,earthy|lemon|mango,earthy|lemon|mango,,thc,,,,"Aceh is a sativa with flavors of earthy, lemon, mango.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
acid,Acid,,hybrid,,,diesel|earthy|lemon,diesel|earthy|lemon,,thc,WA flower lots test around 16% THC on average.,,,"Acid is a hybrid with flavors of diesel, earthy, lemon.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
adak,Adak,,hybrid,,caryophyllene,pine|fresh|peppery|spicy,,caryophyllene|pinene,thc,,,,Adak is a hybrid with Caryophyllene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
afcrack,Afcrack,,hybrid,,,earthy|floral|sweet,earthy|floral|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Afcrack is a hybrid with flavors of earthy, floral, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afgahni bullrider,Afgahni Bullrider,,indica,,,citrus|lemon|sweet,citrus|lemon|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Afgahni Bullrider is an indica with flavors of citrus, lemon, sweet.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghan diesel,Afghan Diesel,,hybrid,,,diesel|earthy,diesel|earthy,,thc,WA flower lots test around 13% THC on average.,,,"Afghan Diesel is a hybrid with flavors of diesel, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghan haze,Afghan Haze,,hybrid,,,earthy|floral|herbal,earthy|floral|herbal,,thc,WA flower lots test around 15% THC on average.,,Mr. Nice,"Afghan Haze is a hybrid with flavors of earthy, floral, herbal.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghan kush,Afghan Kush,,indica,,,earthy|floral|woody,earthy|floral|woody,,thc,WA flower lots test around 18% THC on average.,,White Label Co.,"Afghan Kush is an indica with flavors of earthy, floral, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghan skunk,Afghan Skunk,,indica,,,earthy|skunk|sweet,earthy|skunk|sweet|woody,,thc,WA flower lots test around 16% THC on average.,,Expert Seeds,"Afghan Skunk is an indica with flavors of earthy, skunk, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghan-cow,Afghan-cow,,sativa,,,sweet|vanilla,sweet|vanilla,,thc,,,Dr. Krippling,"Afghan-cow is a sativa with flavors of sweet, vanilla.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
afghan-hawaiian,Afghan-hawaiian,,indica,,,nutty|earthy,nutty|earthy,,thc,,,,"Afghan-hawaiian is an indica with flavors of nutty, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
afghan-sour-kush,Afghan-sour-kush,,indica,,,diesel|earthy|pungent,diesel|earthy|pungent,,thc,,,MTG Seeds,"Afghan-sour-kush is an indica with flavors of diesel, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
afghan-widow,Afghan-widow,,hybrid,,,diesel|floral|sweet,diesel|floral|sweet,,thc,,,,"Afghan-widow is a hybrid with flavors of diesel, floral, sweet.",The Cannabis API (Piyush-Bhor),0.65
afghani bullrider,Afghani Bullrider,,hybrid,,,earthy|pine|sweet,earthy|pine|sweet,,thc,,,,"Afghani Bullrider is a hybrid with flavors of earthy, pine, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
afghani-cbd,Afghani-cbd,,indica,,,diesel|earthy|floral,diesel|earthy|floral|herbal|spicy,,thc,,,,"Afghani-cbd is an indica with flavors of diesel, earthy, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
afghanica,Afghanica,,hybrid,,,floral|skunk|sweet,floral|skunk|sweet,,thc,WA flower lots test around 22% THC on average.,,Flying Dutchmen Seed Company,"Afghanica is a hybrid with flavors of floral, skunk, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afghanimal,Afghanimal,,indica,,,citrus|skunk,citrus|skunk,,thc,,,In House Genetics,"Afghanimal is an indica with flavors of citrus, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
afghooey,Afghooey,,indica,,,earthy|sweet|woody,earthy|sweet|woody,,thc,WA flower lots test around 20% THC on average.,,,"Afghooey is an indica with flavors of earthy, sweet, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afpak,Afpak,,hybrid,,,earthy|herbal|pine,earthy|herbal|pine|spicy,,thc,,,,"Afpak is a hybrid with flavors of earthy, herbal, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
african,African,,sativa,,,earthy|herbal|peppery,earthy|herbal|peppery|pungent|spicy,,thc,WA flower lots test around 13% THC on average.,,,"African is a sativa with flavors of earthy, herbal, peppery.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afternoon delight,Afternoon Delight,,hybrid,,,citrus|pungent|tropical,citrus|pungent|tropical,,thc,WA flower lots test around 13% THC on average.,,Crockett Family Farms,"Afternoon Delight is a hybrid with flavors of citrus, pungent, tropical.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
afwreck,Afwreck,,hybrid,,,earthy|pine|pungent,earthy|pine|pungent,,thc,,,,"Afwreck is a hybrid with flavors of earthy, pine, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
agent-tangie,Agent-tangie,,hybrid,,,citrus|orange|skunk,citrus|orange|skunk,,thc,,,,"Agent-tangie is a hybrid with flavors of citrus, orange, skunk.",The Cannabis API (Piyush-Bhor),0.65
air-jordan-og,Air-jordan-og,,indica,,,diesel|herbal|pine,diesel|herbal|pine|spicy,,thc,,,,"Air-jordan-og is an indica with flavors of diesel, herbal, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alaska,Alaska,,sativa,,,earthy|peppery|pine,earthy|peppery|pine|woody,,thc,WA flower lots test around 21% THC on average.,,Tikun Olam,"Alaska is a sativa with flavors of earthy, peppery, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alaska-thunder-grape,Alaska-thunder-grape,,hybrid,,,grape|peppery|strawberry,grape|peppery|strawberry,,thc,,,,"Alaska-thunder-grape is a hybrid with flavors of grape, peppery, strawberry.",The Cannabis API (Piyush-Bhor),0.65
alaskan ice,Alaskan Ice,,sativa,,,earthy|herbal|spicy,earthy|herbal|spicy|sweet,,thc,WA flower lots test around 17% THC on average.,,Green House Seed Co.,"Alaskan Ice is a sativa with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alchemy,Alchemy,,hybrid,,,cheese|herbal|spicy,cheese|herbal|spicy|sweet,,thc,,,TGA Seeds,"Alchemy is a hybrid with flavors of cheese, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alf,Alf,,hybrid,,,diesel|pungent|tropical,diesel|pungent|tropical,,thc,,,,"Alf is a hybrid with flavors of diesel, pungent, tropical.",The Cannabis API (Piyush-Bhor),0.65
alice in wonderland,Alice In Wonderland,,sativa,,,earthy|mint|pine,earthy|mint|pine|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Alice In Wonderland is a sativa with flavors of earthy, mint, pine.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien asshat,Alien Asshat,,hybrid,,,citrus|earthy|pungent,citrus|earthy|pungent,,thc,WA flower lots test around 24% THC on average.,,,"Alien Asshat is a hybrid with flavors of citrus, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien bubba,Alien Bubba,,indica,,,earthy|sweet|woody,earthy|sweet|woody,,thc,WA flower lots test around 22% THC on average.,,The Cali Connection,"Alien Bubba is an indica with flavors of earthy, sweet, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien dog,Alien Dog,,hybrid,,humulene,hoppy|earthy|woody|peppery,,humulene|caryophyllene|myrcene,thc,,,,Alien Dog is a hybrid with Humulene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
alien hallucination,Alien Hallucination,,hybrid,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,,,Alien Genetics,"Alien Hallucination is a hybrid with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
alien moonshine,Alien Moonshine,,hybrid,,myrcene,earthy|musky|herbal|pine,,myrcene|pinene|humulene,thc,,,,Alien Moonshine is a hybrid with Myrcene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
alien rift,Alien Rift,,indica,,,diesel|citrus|earthy,diesel|citrus|earthy|grape,,thc,WA flower lots test around 22% THC on average.,,Ocean Grown Seeds,"Alien Rift is an indica with flavors of diesel, citrus, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien rock candy,Alien Rock Candy,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,WA flower lots test around 20% THC on average.,,Alien Genetics,"Alien Rock Candy is a hybrid with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien sour apple,Alien Sour Apple,,hybrid,,,apple|lemon|sweet,apple|lemon|sweet,,thc,,,Franchise Genetics,"Alien Sour Apple is a hybrid with flavors of apple, lemon, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
alien stardawg,Alien Stardawg,,sativa,,,diesel|herbal|spicy,diesel|herbal|spicy,,thc,WA flower lots test around 20% THC on average.,,Green Beanz Seeds,"Alien Stardawg is a sativa with flavors of diesel, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alien starfighter,Alien Starfighter,,hybrid,,myrcene,earthy|musky|herbal|peppery,,myrcene|caryophyllene|humulene,thc,,,,Alien Starfighter is a hybrid with Myrcene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
alien-abduction,Alien-abduction,,hybrid,,,earthy|nutty|sweet,earthy|nutty|sweet,,thc,,,Ocean Grown Seeds,"Alien-abduction is a hybrid with flavors of earthy, nutty, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alien-apparition,Alien-apparition,,hybrid,,,pungent|skunk|sweet,pungent|skunk|sweet,,thc,,,Franchise Genetics,"Alien-apparition is a hybrid with flavors of pungent, skunk, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alien-dutchess,Alien-dutchess,,sativa,,,berry|blueberry|lemon,berry|blueberry|lemon|sweet,,thc,,,,"Alien-dutchess is a sativa with flavors of berry, blueberry, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alien-inferno,Alien-inferno,,hybrid,,,diesel|earthy|pine,diesel|earthy|pine,,thc,,,,"Alien-inferno is a hybrid with flavors of diesel, earthy, pine.",The Cannabis API (Piyush-Bhor),0.65
alien-reunion,Alien-reunion,,hybrid,,,cheese|pungent|skunk,cheese|pungent|skunk,,thc,,,Cannobi Genetics,"Alien-reunion is a hybrid with flavors of cheese, pungent, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alien-technology,Alien-technology,,indica,,,earthy|herbal|spicy,earthy|herbal|spicy|woody,,thc,,,The Cali Connection,"Alien-technology is an indica with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
allkush,Allkush,,indica,,,earthy|herbal|honey,earthy|herbal|honey|spicy,,thc,,,,"Allkush is an indica with flavors of earthy, herbal, honey.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
aloha,Aloha,,sativa,,,citrus|sweet|tropical,citrus|sweet|tropical,,thc,WA flower lots test around 18% THC on average.,,,"Aloha is a sativa with flavors of citrus, sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
aloha-grape-stomper,Aloha-grape-stomper,,hybrid,,,blueberry|grape|tropical,blueberry|grape|tropical,,thc,,,,"Aloha-grape-stomper is a hybrid with flavors of blueberry, grape, tropical.",The Cannabis API (Piyush-Bhor),0.65
aloha-limone,Aloha-limone,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,,,,"Aloha-limone is a hybrid with flavors of citrus, earthy, sweet.",The Cannabis API (Piyush-Bhor),0.65
alohaberry,Alohaberry,,hybrid,,,apple|berry|nutty,apple|berry|nutty,,thc,,,,"Alohaberry is a hybrid with flavors of apple, berry, nutty.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alpha blue,Alpha Blue,,sativa,,,blueberry|earthy|sweet,blueberry|earthy|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Alpha Blue is a sativa with flavors of blueberry, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alpha-express,Alpha-express,,sativa,,,diesel|earthy|herbal,diesel|earthy|herbal|spicy|sweet,,thc,,,,"Alpha-express is a sativa with flavors of diesel, earthy, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
alpha-og,Alpha-og,,hybrid,,,berry|herbal|spicy,berry|herbal|spicy|sweet,,thc,,,,"Alpha-og is a hybrid with flavors of berry, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
